artists,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name,popularity
#nācgavilēt koris,0.511,0.606,0.344,84.064,0.019,0.029,0.0,0.176,0.0,0.0,3,Asian Acoustic,
$A Lil Van,0.823,0.813,0.746,150.051,0.118,0.155,0.0,0.845,0.0,0.0,4,Brazilian Beat,
$OHO BANI,0.692,0.644,0.354,139.746,0.09,0.117,0.0,0.131,0.994,0.998,1,Pop Mainstream,
$ONO$ CLIQ,0.902,0.904,0.864,143.992,0.061,0.121,0.0,0.089,1.0,0.0,0,High Energy Pop,
$hirak,0.854,0.612,0.699,128.493,0.278,0.269,0.0,0.129,0.902,0.123,2,Latin Groove,
$ikario a.k.a Panemera panama,0.907,0.782,0.85,105.016,0.235,0.159,0.0,0.048,1.0,0.0,2,Latin Groove,4.0
$kinny,0.7,0.608,0.123,112.981,0.776,0.057,0.0,0.193,0.0,0.0,3,Asian Acoustic,49.0
$onny,0.757,0.679,0.694,138.032,0.518,0.088,0.0,0.108,1.0,1.0,1,Pop Mainstream,
$ourJ,0.624,0.624,0.407,146.099,0.032,0.089,0.0,0.153,0.0,0.0,0,High Energy Pop,43.5
$uicideboy$,0.75,0.764,0.371,137.014,0.034,0.152,0.018,0.365,1.0,0.833,4,Brazilian Beat,60.7
& Mhaw Keys,0.809,0.695,0.416,120.002,0.038,0.05,0.205,0.032,0.0,0.0,2,Latin Groove,
&ME,0.756,0.721,0.571,119.995,0.096,0.04,0.251,0.225,0.0,1.0,2,Latin Groove,
(G)I-DLE,0.849,0.818,0.696,121.954,0.11,0.103,0.0,0.281,0.004,0.272,4,Brazilian Beat,76.0
*NSYNC,0.61,0.926,0.861,172.638,0.031,0.048,0.001,0.082,0.0,0.0,0,High Energy Pop,88.1
.Feast,0.473,0.635,0.324,96.732,0.158,0.028,0.375,0.087,0.0,0.866,3,Asian Acoustic,74.0
0-600,0.853,0.336,0.695,138.033,0.449,0.086,0.0,0.092,1.0,0.0,2,Latin Groove,
01099,0.797,0.715,0.64,145.692,0.26,0.097,0.204,0.11,0.021,0.748,0,High Energy Pop,
015 MusiQ & Van City MusiQ,0.823,0.56,0.695,111.998,0.115,0.044,0.0,0.064,0.0,0.0,2,Latin Groove,
01an,0.783,0.66,0.555,114.119,0.293,0.243,0.096,0.118,1.0,0.673,2,Latin Groove,
03 Greedo,0.755,0.482,0.16,101.964,0.272,0.254,0.0,0.113,1.0,0.0,2,Latin Groove,
031CHOPPA,0.699,0.396,0.376,112.999,0.051,0.119,0.027,0.307,0.0,0.702,1,Pop Mainstream,
070 Shake,0.538,0.742,0.25,96.107,0.138,0.114,0.0,0.093,1.0,1.0,1,Pop Mainstream,
1.Cuz,0.753,0.583,0.551,122.78,0.32,0.18,0.002,0.12,0.8,0.0,2,Latin Groove,43.0
1.Kla$,0.765,0.684,0.57,129.787,0.258,0.139,0.0,0.326,1.0,1.0,4,Brazilian Beat,59.4
10-FEET,0.445,0.94,0.349,150.082,0.0,0.175,0.0,0.32,0.0,1.0,4,Brazilian Beat,71.4
100 First Songs' Participants,0.676,0.36,0.593,132.45,0.682,0.281,0.0,0.063,0.0,1.0,3,Asian Acoustic,43.0
100лиця,0.855,0.888,0.871,124.987,0.026,0.217,0.0,0.249,0.0,1.0,4,Brazilian Beat,
1019,0.772,0.55,0.425,101.937,0.276,0.362,0.001,0.109,1.0,1.0,2,Latin Groove,
102 Boyz,0.733,0.49,0.502,72.798,0.338,0.069,0.0,0.261,0.0,1.0,3,Asian Acoustic,
10CM,0.534,0.555,0.283,117.184,0.472,0.032,0.0,0.095,0.0,1.0,3,Asian Acoustic,69.4
1119,0.83,0.908,0.93,134.954,0.214,0.083,0.0,0.257,0.0,1.0,4,Brazilian Beat,57.2
12os Pithikos,0.729,0.71,0.429,126.581,0.4,0.228,0.0,0.113,0.661,0.482,2,Latin Groove,
13 Killoki,0.722,0.74,0.63,110.245,0.434,0.093,0.0,0.173,0.6,0.6,2,Latin Groove,
13 Organisé,0.861,0.883,0.87,140.312,0.445,0.154,0.0,0.709,1.0,0.0,4,Brazilian Beat,
13K,0.754,0.584,0.436,169.954,0.001,0.338,0.0,0.404,1.0,1.0,4,Brazilian Beat,
13Many,0.701,0.723,0.421,97.904,0.175,0.218,0.008,0.243,1.0,0.556,2,Latin Groove,
14 Casper,0.44,0.351,0.324,141.508,0.789,0.034,0.0,0.129,0.0,1.0,3,Asian Acoustic,
1550 Collective,0.634,0.601,0.704,96.98,0.059,0.213,0.0,0.142,0.667,0.0,2,Latin Groove,48.1
16 BrT,0.895,0.655,0.753,152.959,0.24,0.262,0.0,0.107,0.0,0.0,0,High Energy Pop,
16 Typh,0.895,0.655,0.753,152.959,0.24,0.262,0.0,0.107,0.0,0.0,0,High Energy Pop,
163ONMYNECK,0.826,0.628,0.565,98.975,0.077,0.221,0.0,0.144,1.0,1.0,2,Latin Groove,
187 Strassenbande,0.736,0.691,0.55,99.791,0.154,0.377,0.0,0.06,0.0,1.0,2,Latin Groove,
1986zig,0.615,0.875,0.561,122.623,0.083,0.055,0.0,0.202,0.018,0.018,0,High Energy Pop,69.8
1D1R,0.796,0.666,0.577,119.952,0.627,0.14,0.05,0.099,0.0,0.0,2,Latin Groove,
1Jonne,0.814,0.543,0.685,136.092,0.458,0.04,0.0,0.12,0.0,0.0,0,High Energy Pop,
1da Banton,0.777,0.742,0.964,112.966,0.217,0.06,0.0,0.376,0.0,1.0,4,Brazilian Beat,56.8
1olliee,0.828,0.761,0.7,102.991,0.134,0.177,0.0,0.253,1.0,1.0,2,Latin Groove,
1wayzayys,0.63,0.552,0.263,142.049,0.089,0.061,0.0,0.223,1.0,0.0,2,Latin Groove,
2 Chainz,0.522,0.529,0.852,108.614,0.516,0.531,0.0,0.369,1.0,0.0,4,Brazilian Beat,
2 Engel & Charlie,0.723,0.857,0.759,164.984,0.002,0.047,0.001,0.473,0.0,1.0,4,Brazilian Beat,
21 Savage,0.643,0.691,0.318,146.859,0.067,0.156,0.002,0.402,1.0,0.892,4,Brazilian Beat,93.4
2115,0.654,0.693,0.531,157.933,0.023,0.155,0.0,0.135,1.0,1.0,0,High Energy Pop,
212MUSIC,0.602,0.679,0.539,127.545,0.046,0.314,0.0,0.139,0.0,0.0,2,Latin Groove,
23,0.77,0.57,0.571,116.884,0.212,0.194,0.106,0.133,1.0,0.28,2,Latin Groove,58.9
2462 Secte,0.638,0.941,0.539,144.247,0.402,0.244,0.0,0.177,1.0,1.0,0,High Energy Pop,
24K,0.737,0.682,0.786,130.027,0.408,0.04,0.033,0.072,1.0,0.0,2,Latin Groove,
24hrs,0.663,0.689,0.229,140.25,0.225,0.228,0.0,0.142,1.0,0.0,2,Latin Groove,
25,0.755,0.592,0.667,102.398,0.162,0.153,0.301,0.189,0.439,0.386,2,Latin Groove,
255,0.632,0.687,0.339,114.721,0.071,0.218,0.0,0.106,1.0,1.0,2,Latin Groove,
25K,0.756,0.49,0.4,114.207,0.199,0.192,0.0,0.136,1.0,0.833,2,Latin Groove,
267,0.772,0.4,0.565,136.082,0.839,0.058,0.162,0.111,0.0,1.0,3,Asian Acoustic,
26is,0.51,0.691,0.651,98.645,0.415,0.203,0.0,0.144,0.214,0.214,2,Latin Groove,
291i sng,0.378,0.754,0.723,101.84,0.198,0.072,0.0,0.668,0.0,1.0,4,Brazilian Beat,46.0
2Dee,0.893,0.46,0.603,130.036,0.122,0.09,0.0,0.105,1.0,1.0,1,Pop Mainstream,25.0
2Ectasy,0.67,0.647,0.605,120.068,0.601,0.028,0.0,0.167,0.0,1.0,1,Pop Mainstream,
2K,0.67,0.505,0.253,143.617,0.645,0.079,0.0,0.093,0.233,0.798,3,Asian Acoustic,
2KE,0.531,0.991,0.961,145.054,0.118,0.102,0.926,0.156,0.0,1.0,2,Latin Groove,
2Point1,0.773,0.754,0.528,112.997,0.007,0.037,0.04,0.019,0.0,0.0,2,Latin Groove,
2T FLOW,0.823,0.337,0.506,116.03,0.579,0.047,0.0,0.163,0.0,1.0,3,Asian Acoustic,
2T.,0.941,0.405,0.718,127.095,0.687,0.442,0.0,0.105,0.0,0.0,2,Latin Groove,63.7
2hug,0.721,0.662,0.275,102.159,0.132,0.277,0.0,0.211,1.0,1.0,2,Latin Groove,56.8
2latefor,0.619,0.677,0.162,137.43,0.038,0.154,0.0,0.124,1.0,0.333,2,Latin Groove,
2mochh,0.859,0.646,0.682,103.023,0.024,0.212,0.001,0.091,1.0,0.0,2,Latin Groove,
2nd Roof,0.751,0.713,0.595,109.064,0.332,0.138,0.015,0.107,1.0,0.683,2,Latin Groove,
2pillz,0.632,0.587,0.363,139.76,0.341,0.033,0.0,0.16,0.0,0.998,1,Pop Mainstream,
2woBunnies,0.563,0.59,0.475,113.943,0.004,0.117,0.001,0.746,0.0,1.0,4,Brazilian Beat,
2woshort,0.943,0.539,0.45,112.008,0.051,0.063,0.004,0.041,0.0,0.0,2,Latin Groove,
361Ufuk,0.711,0.686,0.532,144.055,0.065,0.044,0.0,0.206,1.0,1.0,0,High Energy Pop,6.0
372Kaspar,0.636,0.675,0.606,102.356,0.194,0.219,0.0,0.257,0.2,0.2,2,Latin Groove,
3D,0.606,0.674,0.446,106.673,0.049,0.175,0.0,0.313,0.4,1.0,4,Brazilian Beat,53.0
3DayWkend,0.761,0.898,0.898,124.05,0.003,0.1,0.002,0.233,0.0,0.0,0,High Energy Pop,32.0
3P,0.761,0.84,0.656,120.21,0.057,0.072,0.0,0.347,0.0,0.261,4,Brazilian Beat,56.8
